year,competition_name,event_name,final_group,crew_name,organization,rank,time
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final A,日本体育大学,日本体育大学,6,06:25.77
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final B,中央大学,中央大学,1,07:01.90
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final B,同志社大学,同志社大学,2,07:09.81
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final B,法政大学,法政大学,3,07:10.71
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final B,富山国際大学,富山国際大学,4,07:12.99
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final B,中部電力,中部電力,5,07:13.38
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final B,龍谷大学,龍谷大学,6,07:26.37
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final A,明治安田生命,明治安田生命,1,06:39.66
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final A,デンソー,デンソー,2,06:45.54
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final A,明治大学,明治大学,3,06:47.02
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final A,関西電力,関西電力,4,06:49.30
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final A,早稲田大学,早稲田大学,5,06:51.51
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子クォドルプル,Final A,東北大学,東北大学,6,07:06.04
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final B,チョープロ,チョープロ,1,06:38.96
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final B,日本体育大学,日本体育大学,2,06:41.53
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final B,明治大学,明治大学,3,06:42.56
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final B,龍谷大学,龍谷大学,4,06:49.60
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final B,東北大学,東北大学,5,06:54.97
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final A,日本大学,日本大学,1,06:31.78
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final A,中央大学,中央大学,2,06:32.10
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final A,トヨタ紡織,トヨタ紡織,3,06:34.75
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final A,NTT東日本,NTT東日本,4,06:37.63
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final A,中部電力,中部電力,5,06:43.39
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子舵手つきフォア,Final A,仙台大学,仙台大学,6,06:47.83
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final B,慶應義塾大学,慶應義塾大学,1,07:39.82
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final B,明治大学,明治大学,2,07:43.09
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final B,京都大学,京都大学,3,07:58.75
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final A,立命館大学,立命館大学,1,07:23.24
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final A,立教大学,立教大学,2,07:25.59
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final A,一橋大学,一橋大学,3,07:25.75
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final A,神戸大学,神戸大学,4,07:30.98
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final A,早稲田大学,早稲田大学,5,07:33.02
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子舵手付きフォア,Final A,日本体育大学,日本体育大学,6,07:33.55
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子エイト,Final B,明治大学,明治大学,1,05:54.41
